tipo_de_emprendimiento,idea_negocio,barrio,estrato,comuna_ciudadano,fecha_de_beneficio,monto_del_credito,línea_credito
servicio,variedades,barrio colombia,3,14.0,2017-02-23,7370000.0,microempresarial
industria,fabrica de,manrique central no. 1,1,4.0,2017-06-16,63000000.0,microempresarial
industria,fabrica de,buenos aires,2,9.0,2017-03-08,7000000.0,microempresarial
comercio,variedades,santo domingo savio,2,1.0,2017-07-14,7000000.0,microempresarial
comercio,legumbreria,picacho,1,6.0,2017-09-20,7377000.0,microempresarial
industria,fabrica de arepas,campo valdes no. 1,3,4.0,2018-01-24,7300000.0,microempresarial
comercio,tienda,robledo,1,7.0,2016-09-12,6894000.0,microempresarial
comercio,tienda,campo valdes no. 1,2,4.0,2019-02-19,7800000.0,microempresarial
comercio,legumbreria,girardot,3,5.0,2018-08-03,7800000.0,microempresarial
industria,fabrica de muebles,altavista,2,16.0,2018-12-13,7800000.0,microempresarial
servicio,mantenimiento en,buenos aires,3,9.0,2016-09-29,5000000.0,microempresarial
servicio,comidas rapidas,manrique central no. 2,2,3.0,2016-08-22,3000000.0,microempresarial
comercio,variedades,san javier no.1,1,13.0,2017-09-20,2000000.0,microempresarial
servicio,publicidad y,el socorro,1,13.0,2018-12-28,6000000.0,microempresarial
servicio,productos de belleza,alfonso lopez,2,5.0,2018-05-24,7000000.0,microempresarial
servicio,peluqueria,belen,2,9.0,2017-05-26,60000000.0,microempresarial
comercio,comidas rapidas,llanaditas,1,8.0,2017-03-23,5000000.0,microempresarial
servicio,peluqueria,cabecera san antonio,2,80.0,2018-07-16,7800000.0,microempresarial
comercio,tienda,manrique central no. 2,3,3.0,2017-08-04,7000000.0,microempresarial
industria,fabrica de,doce de octubre no.1,1,6.0,2017-05-10,5000000.0,microempresarial
industria,bares,florencia,3,5.0,2018-02-28,19000000.0,empresarial ed.
comercio,variedades,la floresta,3,12.0,2016-03-02,4500000.0,microempresarial
servicio,barberia,san jose de la cima no.,1,3.0,2018-02-16,6200000.0,microempresarial
servicio,restaurante,robledo,2,7.0,2019-04-25,6000000.0,microempresarial
industria,fabrica de,san javier no.1,1,13.0,2017-05-04,7000000.0,microempresarial
comercio,variedades,granizal,2,1.0,2018-09-10,1500000.0,microempresarial
industria,fabrica de,jardin botanico,1,4.0,2018-05-31,5000000.0,microempresarial
comercio,panaderia,bombona no. 1,3,10.0,2016-09-30,6800000.0,microempresarial
comercio,tienda,santo domingo savio,1,1.0,2018-12-05,6000000.0,microempresarial
servicio,taller de mecanica,cabecera san cristobal,2,60.0,2019-05-22,8000000.0,microempresarial
comercio,variedades,antonio nariño,3,13.0,2018-05-04,780000.0,microempresarial
industria,fabrica de,belalcazar,2,5.0,2016-11-01,6890000.0,microempresarial
agropecuaria,criadero de animales,manrique central no. 2,1,3.0,2018-07-19,7812000.0,microempresarial
comercio,variedades,robledo,2,7.0,2017-03-29,3000000.0,microempresarial
comercio,comidas rapidas,buenos aires,1,9.0,2019-05-24,8200000.0,microempresarial
servicio,recreativo educativo,santa cruz,3,2.0,2018-02-14,7800000.0,microempresarial
comercio,variedades,popular,2,1.0,2016-01-19,5000000.0,microempresarial
servicio,peluqueria,el salvador,3,9.0,2018-06-15,7000000.0,microempresarial
comercio,variedades,san javier no.1,3,13.0,2017-02-22,6890000.0,microempresarial
industria,fabrica de,loreto,2,9.0,2018-05-02,3000000.0,microempresarial
comercio,papeleria,castilla,3,5.0,2019-01-30,4000000.0,microempresarial
comercio,fabrica de,bello horizonte,1,7.0,2017-02-23,4000000.0,microempresarial
comercio,distribuidora de,aranjuez,3,4.0,2017-06-30,7300000.0,microempresarial
comercio,cerrajeria,robledo,2,7.0,2017-09-18,5800000.0,microempresarial
agropecuaria,criadero de animales,cabecera san cristobal,2,60.0,2017-11-20,1400000000.0,microempresarial
industria,fabrica de,florencia,3,5.0,2017-09-13,4000000.0,microempresarial
comercio,tienda,popular,1,9.0,2017-08-25,3150000.0,microempresarial
industria,fabrica de,belen,2,16.0,2018-08-08,7800000.0,microempresarial
comercio,variedades,manrique central no. 1,2,4.0,2017-11-07,7377000.0,microempresarial
industria,fabrica de,robledo,1,7.0,2018-04-27,7000000.0,microempresarial
servicio,organizacion y,belen,3,16.0,2016-07-14,68900000.0,microempresarial
industria,carpinteria,aranjuez,2,4.0,2018-05-15,7800000.0,microempresarial
industria,fabrica de,sucre,3,8.0,2018-07-12,5000000.0,microempresarial
comercio,tienda naturista,campo valdes no. 1,3,4.0,2018-05-28,7800000.0,microempresarial
comercio,tienda,lopez de mesa,3,7.0,2018-07-24,1500000.0,microempresarial
comercio,tienda,guayabal,2,15.0,2018-09-05,7800000.0,microempresarial
comercio,almacen de ropa en,boston,3,10.0,2017-08-15,7370000.0,microempresarial
servicio,recreativo educativo,guayabal,3,15.0,2016-10-28,2000000.0,microempresarial
comercio,almacen de ropa en,manrique oriental,2,3.0,2017-07-19,6000000.0,microempresarial
servicio,peluqueria,san pablo,2,1.0,2018-01-12,7800000.0,microempresarial
servicio,taller de electronica,lopez de mesa,3,7.0,2018-11-16,3000000.0,microempresarial
servicio,lavanderia,cabecera san cristobal,1,60.0,2017-03-07,4000000.0,microempresarial
comercio,fabrica de helados,santo domingo savio,2,1.0,2017-03-07,7377000.0,microempresarial
comercio,comidas rapidas,santander,2,6.0,2018-10-30,7800000.0,microempresarial
comercio,variedades,san javier no.1,3,13.0,2016-07-05,6000000.0,microempresarial
industria,fabrica de,belen,3,16.0,2018-09-03,5500000.0,microempresarial
industria,fabrica de calzado,granizal,3,1.0,2017-04-07,5000000.0,microempresarial
comercio,variedades,la floresta,3,12.0,2016-10-11,6890000.0,microempresarial
servicio,fumigacion,enciso,1,8.0,2016-11-28,6890000.0,microempresarial
comercio,fabrica de muebles,robledo,2,7.0,2017-09-20,7370000.0,microempresarial
comercio,gimnasio,popular,2,1.0,2017-04-18,200000000.0,microempresarial
industria,fabrica de,aures no. 2,2,7.0,2017-05-22,1500000.0,microempresarial
servicio,peluqueria,belen,2,16.0,2017-02-27,5000000.0,microempresarial
comercio,comidas rapidas,san javier no.1,2,13.0,2016-01-20,6800000.0,microempresarial
comercio,productos de belleza,picachito,1,6.0,2019-03-18,8200000.0,microempresarial
comercio,taller de mecanica,picacho,1,6.0,2017-03-29,6000000.0,microempresarial
industria,fabrica de,campo valdes no. 1,3,4.0,2016-04-11,6600000.0,microempresarial
servicio,mantenimiento en,enciso,1,8.0,2018-12-13,5000000.0,microempresarial
industria,fabrica de,manrique central no. 2,3,3.0,2017-11-03,5000000.0,microempresarial
comercio,peluqueria,robledo,2,7.0,2017-05-11,7377000.0,microempresarial
servicio,variedades,andalucia,2,2.0,2017-04-20,6000000.0,microempresarial
servicio,productos de belleza,trinidad,3,15.0,2017-11-21,27000000.0,empresarial ed.
comercio,reciclaje,san javier no.1,1,13.0,2018-10-31,7800000.0,microempresarial
servicio,cafe e internet,aguas frias,1,70.0,2017-08-30,700.0,microempresarial
comercio,tienda,manrique oriental,2,3.0,2016-10-14,6890000.0,microempresarial
comercio,variedades,robledo,2,7.0,2017-03-28,7377000.0,microempresarial
comercio,tienda,villatina,1,9.0,2018-05-28,7800000.0,microempresarial
servicio,criadero de animales,castilla,3,5.0,2018-10-25,7800000.0,microempresarial
comercio,variedades,robledo,2,7.0,2018-10-11,4000000.0,microempresarial
comercio,ferreteria,buenos aires,2,9.0,2016-07-07,6800000.0,microempresarial
servicio,peluqueria,robledo,2,7.0,2017-12-19,6000000.0,microempresarial
industria,taller de electronica,buenos aires,2,9.0,2018-02-14,7000000.0,microempresarial
comercio,tienda,santa cruz,2,2.0,2018-05-10,7800000.0,microempresarial
industria,fabrica de,cabecera san cristobal,3,60.0,2017-08-22,737000000.0,microempresarial
industria,fabrica de,san javier no.1,2,13.0,2018-02-23,7800000.0,microempresarial
servicio,tienda,popular,1,1.0,2016-10-14,2000000.0,microempresarial
comercio,comidas rapidas,belencito,1,13.0,2018-08-10,7800000.0,microempresarial
comercio,fabrica de alimentos,enciso,2,8.0,2018-02-06,780000000.0,microempresarial
comercio,tienda,versalles no. 2,1,3.0,2018-06-20,2000000.0,microempresarial
comercio,variedades,manrique central no. 1,2,4.0,2018-05-04,7800000.0,microempresarial
servicio,peluqueria,bombona no. 1,3,10.0,2018-10-18,7000000.0,microempresarial
comercio,comidas rapidas,san javier no.1,1,13.0,2017-09-22,6000000.0,microempresarial
industria,fabrica de calzado,barrio caicedo,2,9.0,2016-04-07,6700000.0,microempresarial
comercio,fabrica de,popular,1,1.0,2017-05-05,7000000.0,microempresarial
servicio,mantenimiento en,doce de octubre no.1,1,6.0,2017-10-19,7377000.0,microempresarial
comercio,almacen de ropa en,caribe,3,5.0,2019-02-27,8281000.0,microempresarial
comercio,variedades,manrique oriental,2,3.0,2017-12-05,7300000.0,microempresarial
comercio,peluqueria,aranjuez,2,4.0,2018-07-09,5000000.0,microempresarial
comercio,venta de calzado,villa nueva,3,10.0,2016-09-23,689000.0,microempresarial
comercio,charcuteria,campo valdes no. 1,3,4.0,2016-11-16,6890000.0,microempresarial
servicio,barberia,doce de octubre no.1,2,6.0,2016-10-18,4500000.0,microempresarial
agropecuaria,marroquineria,manrique oriental,2,3.0,2017-01-24,6000000.0,microempresarial
comercio,comidas rapidas,manrique central no. 1,2,4.0,2018-08-17,6000000.0,microempresarial
comercio,taller de electronica,campo valdes no. 1,3,4.0,2017-02-16,7377000.0,microempresarial
industria,fabrica de,santa cruz,2,2.0,2016-02-18,6000000.0,microempresarial
comercio,variedades,aranjuez,3,4.0,2016-12-14,6890000.0,microempresarial
comercio,comidas rapidas,robledo,2,7.0,2018-05-25,6000000.0,microempresarial
comercio,tienda de helados,trinidad,2,15.0,2018-04-04,6000000.0,microempresarial
comercio,tienda,altavista,2,16.0,2018-06-22,4000000.0,microempresarial
comercio,miscelanea,doce de octubre no.1,2,6.0,2017-08-29,5000000.0,microempresarial
industria,fabrica de,la milagrosa,3,9.0,2016-11-23,4500000.0,microempresarial
comercio,comidas rapidas,villa niza,2,2.0,2018-08-14,500000000.0,microempresarial
comercio,tienda,doce de octubre no.1,2,6.0,2016-09-29,500000000.0,microempresarial
comercio,variedades,manrique central no. 2,3,3.0,2018-06-15,1500000.0,microempresarial
servicio,variedades,castilla,3,5.0,2016-12-02,6890000.0,microempresarial
comercio,restaurante,francisco antonio zea,2,5.0,2017-08-22,28000000.0,empresarial ed.
servicio,cafe e internet,robledo,1,7.0,2018-02-20,4000000.0,microempresarial
comercio,papeleria,manrique oriental,2,3.0,2018-10-31,5000000.0,microempresarial
comercio,drogueria,santo domingo savio,1,1.0,2016-07-07,6000000.0,microempresarial
industria,fabrica de calzado,las palmas,3,10.0,2019-01-09,8200000.0,microempresarial
industria,fabrica de,manrique oriental,3,3.0,2017-06-06,5000000.0,microempresarial
servicio,lavanderia,villa niza,2,2.0,2017-11-23,7300000.0,microempresarial
comercio,comidas rapidas,belen,3,16.0,2017-05-15,7300000.0,microempresarial
industria,fabrica de,buenos aires,3,9.0,2016-09-02,6890000.0,microempresarial
comercio,tienda,buenos aires,2,9.0,2017-12-11,4400000.0,microempresarial
comercio,restaurante,enciso,1,8.0,2018-05-07,1500000.0,microempresarial
agropecuaria,criadero de animales,la pradera,1,13.0,2016-10-11,4000000.0,microempresarial
servicio,mantenimiento en,belen,3,16.0,2018-09-10,7800000.0,microempresarial
servicio,publicidad y,toscana,3,5.0,2017-06-08,7377000.0,microempresarial
comercio,restaurante,barrio caicedo,1,9.0,2018-10-25,7800000.0,microempresarial
comercio,tienda,yarumalito,2,80.0,2017-09-29,6000000.0,microempresarial
comercio,variedades,manrique central no. 1,2,4.0,2018-04-27,2300000.0,microempresarial
comercio,venta de,kennedy,2,8.0,2016-04-21,6890000.0,microempresarial
industria,fabrica de,florencia,3,5.0,2017-05-10,5000000.0,microempresarial
comercio,variedades,kennedy,2,6.0,2016-11-17,6800000.0,microempresarial
servicio,cafe e internet,enciso,2,8.0,2016-07-01,4500000.0,microempresarial
comercio,comidas rapidas,robledo,2,7.0,2018-07-12,2300000.0,microempresarial
industria,fabrica de,villa hermosa,3,8.0,2017-03-30,7377000.0,microempresarial
comercio,variedades,buenos aires,3,9.0,2016-10-19,5000000.0,microempresarial
industria,fabrica de,pedregal,3,6.0,2018-11-20,5000000.0,microempresarial
comercio,variedades,prado,3,10.0,2019-04-01,5000000.0,microempresarial
comercio,comidas rapidas,aranjuez,2,4.0,2017-03-03,4000000.0,microempresarial
comercio,variedades,san javier no.1,2,13.0,2017-01-13,6890000.0,microempresarial
comercio,variedades,cabecera san cristobal,1,60.0,2018-04-25,7800000.0,microempresarial
comercio,variedades,villa del socorro,2,2.0,2018-08-14,7800000.0,microempresarial
industria,fabrica de,villa del socorro,2,2.0,2018-07-24,7800000.0,microempresarial
industria,fabrica de,20 de julio,1,13.0,2018-02-13,7800000.0,microempresarial
comercio,drogueria,moravia,2,4.0,2017-03-21,7300000.0,microempresarial
comercio,tienda,buenos aires,2,9.0,2018-05-03,1700000.0,microempresarial
comercio,ferreteria,buenos aires,3,9.0,2016-10-28,4000000.0,microempresarial
comercio,tienda,barrio caicedo,1,9.0,2017-09-11,2000000.0,microempresarial
industria,fabrica de,el salvador,3,9.0,2019-01-21,4000000.0,microempresarial
servicio,tienda naturista,pablo vi,2,2.0,2017-04-06,5000000.0,microempresarial
industria,fabrica de,20 de julio,1,13.0,2018-10-24,7800000.0,microempresarial
industria,fabrica de,popular,1,1.0,2018-10-18,7800000.0,microempresarial
servicio,comidas rapidas,santo domingo savio,1,1.0,2017-08-25,7300000.0,microempresarial
agropecuaria,sembrados,santa elena central,2,90.0,2016-03-11,6500000.0,microempresarial
comercio,variedades,blanquizal,1,13.0,2018-07-25,3000000.0,microempresarial
industria,fabrica de,manrique central no. 1,2,4.0,2016-09-28,6000000.0,microempresarial
industria,fabrica de,manrique central no. 1,2,4.0,2017-06-09,7300000.0,microempresarial
comercio,comidas rapidas,el salvador,2,9.0,2017-09-22,7377000.0,microempresarial
industria,fabrica de,manrique central no. 2,1,3.0,2018-11-21,7000000.0,microempresarial
industria,fabrica de,prado,3,10.0,2018-02-23,3000000.0,microempresarial
comercio,variedades,santo domingo savio,1,1.0,2018-04-04,1500000.0,microempresarial
comercio,comidas rapidas,belen,2,16.0,2018-04-19,2000000.0,microempresarial
comercio,comidas rapidas,altavista,2,16.0,2018-06-22,7500000.0,microempresarial
comercio,almacen de ropa en,castilla,3,5.0,2017-12-13,7370000.0,microempresarial
comercio,variedades,enciso,2,8.0,2018-04-17,5000000.0,microempresarial
comercio,variedades,la milagrosa,2,9.0,2016-08-10,4000000.0,microempresarial
comercio,fabrica de helados,pedregal,3,6.0,2018-04-12,7200000.0,microempresarial
industria,tienda,campo valdes no. 1,3,4.0,2018-05-09,7800000.0,microempresarial
servicio,hoteles moteles,la pradera,3,13.0,2017-05-04,730000000.0,microempresarial
industria,fabrica de,miranda,2,4.0,2016-04-21,6800000.0,microempresarial
comercio,venta de calzado,manrique central no. 2,2,3.0,2018-05-30,7800000.0,microempresarial
servicio,peluqueria,belen,3,16.0,2018-08-29,7800000.0,microempresarial
servicio,tienda,buenos aires,3,9.0,2017-06-06,7300000.0,microempresarial
comercio,venta de calzado,manrique central no. 1,2,4.0,2018-09-04,3000000.0,microempresarial
comercio,almacen de ropa en,popular,2,1.0,2017-07-13,4000000.0,microempresarial
comercio,tienda,santo domingo savio,2,1.0,2018-01-03,5000000.0,microempresarial
agropecuaria,sembrados,santa elena central,2,90.0,2018-05-09,7800000.0,microempresarial
comercio,almacen de ropa en,manrique central no. 1,1,4.0,2018-02-07,6000000.0,microempresarial
industria,fabrica de,buenos aires,3,9.0,2018-02-20,7000000.0,microempresarial
comercio,mantenimiento en,santo domingo savio,1,1.0,2017-10-17,5000000.0,microempresarial
industria,fabrica de,san javier no.1,2,13.0,2016-12-02,4000000.0,microempresarial
agropecuaria,criadero de animales,cabecera san cristobal,2,60.0,2017-04-25,14000000.0,microempresarial
servicio,comidas rapidas,santa cruz,2,2.0,2017-05-11,7000000.0,microempresarial
servicio,barberia,aranjuez,2,4.0,2018-07-12,4500000.0,microempresarial
industria,fabrica de,manrique oriental,2,4.0,2019-02-15,8200000.0,microempresarial
comercio,tienda,santa cruz,2,2.0,2019-03-14,6000000.0,microempresarial
comercio,variedades,barrio caicedo,2,9.0,2018-11-13,6000000.0,microempresarial
industria,fabrica de alimentos,calasanz,2,12.0,2018-10-30,6000000.0,microempresarial
industria,fabrica de,la floresta,3,12.0,2018-05-22,7000000.0,microempresarial
industria,fabrica de,manrique central no. 1,2,4.0,2018-02-16,7800000.0,microempresarial
comercio,tienda,manrique central no. 1,2,4.0,2018-09-24,5000000.0,microempresarial
comercio,variedades,manrique central no. 1,2,4.0,2017-02-01,7300000.0,microempresarial
comercio,montallantas,manrique central no. 1,3,4.0,2018-04-27,1000000.0,microempresarial
comercio,tienda,manrique central no. 2,3,3.0,2019-05-08,8000000.0,microempresarial
servicio,peluqueria,castilla,3,5.0,2018-10-25,7000000.0,microempresarial
comercio,fabrica de,robledo,3,7.0,2016-11-15,6894000.0,microempresarial
comercio,mantenimiento en,santo domingo savio,2,1.0,2017-01-25,5000000.0,microempresarial
comercio,variedades,castilla,3,5.0,2018-11-26,7800000.0,microempresarial
servicio,tienda,girardot,3,5.0,2018-04-04,1100000.0,microempresarial
comercio,comidas rapidas,calasanz,1,12.0,2018-10-25,2000000.0,microempresarial
comercio,tienda,tricentenario,3,5.0,2016-06-08,6000000.0,microempresarial
comercio,joyeria,kennedy,2,6.0,2016-10-19,3000000.0,microempresarial
comercio,variedades,enciso,2,8.0,2018-02-13,4000000.0,microempresarial
comercio,tienda,blanquizal,1,13.0,2019-01-24,5000000.0,microempresarial
comercio,variedades,tricentenario,1,5.0,2018-04-26,4100000.0,microempresarial
comercio,almacen de ropa en,buenos aires,2,9.0,2018-10-03,200000000.0,microempresarial
agropecuaria,sembrados,cabecera san cristobal,2,60.0,2018-08-22,19000000.0,agropecuaria
comercio,variedades,pedregal,3,6.0,2018-03-08,7000000.0,microempresarial
comercio,variedades,moravia,2,4.0,2018-11-01,3000000.0,microempresarial
comercio,tienda,san javier no.1,2,13.0,2019-03-05,5000000.0,microempresarial
servicio,cafeteria,playon de los,2,2.0,2018-01-03,5000000.0,microempresarial
comercio,variedades,doce de octubre no.1,2,6.0,2017-12-12,600000000.0,microempresarial
comercio,miscelanea,castilla,3,5.0,2016-10-25,3000000.0,microempresarial
industria,fabrica de,belen,1,16.0,2019-06-13,4000000.0,microempresarial
comercio,tienda,manrique central no. 1,3,4.0,2017-08-29,5000000.0,microempresarial
servicio,peluqueria,palenque,2,7.0,2018-09-24,7000000.0,microempresarial
comercio,variedades,buenos aires,3,9.0,2018-09-20,4600000.0,microempresarial
comercio,tienda,villatina,1,8.0,2019-05-27,750000000.0,microempresarial
agropecuaria,variedades,buenos aires,2,9.0,2018-04-19,7800000.0,microempresarial
servicio,peluqueria,llanaditas,2,8.0,2017-09-01,4400000.0,microempresarial
industria,fabrica de,santo domingo savio,1,1.0,2018-05-29,7800000.0,microempresarial
comercio,tienda,buenos aires,3,9.0,2018-05-25,4000000.0,microempresarial
comercio,drogueria,buenos aires,3,9.0,2018-10-24,780000000.0,microempresarial
comercio,tienda,andalucia,2,2.0,2018-03-13,6000000.0,microempresarial
industria,fabrica de,picacho,1,6.0,2017-06-12,700000000.0,microempresarial
comercio,almacen de ropa en,aranjuez,1,4.0,2017-02-06,7370000.0,microempresarial
comercio,restaurante,la sierra,1,8.0,2017-10-18,2500000.0,microempresarial
industria,fabrica de,barrio caicedo,2,9.0,2016-07-11,5500000.0,microempresarial
comercio,tienda de helados,robledo,3,7.0,2018-07-18,7800000.0,microempresarial
comercio,variedades,francisco antonio zea,3,5.0,2018-05-17,7000000.0,microempresarial
comercio,tienda,barrio caicedo,1,9.0,2017-08-24,7000000.0,microempresarial
comercio,taller de mecanica,robledo,2,7.0,2017-12-14,5000000.0,microempresarial
comercio,variedades,castilla,2,5.0,2017-04-17,7377000.0,microempresarial
industria,fabrica de,manrique central no. 1,2,4.0,2018-02-06,7300000.0,microempresarial
comercio,comidas rapidas,castilla,2,5.0,2018-12-21,4000000.0,microempresarial
industria,fabrica de,campo valdes no. 1,3,4.0,2017-06-15,7000000.0,microempresarial
comercio,variedades,campo valdes no. 2,3,3.0,2018-09-20,7800000.0,microempresarial
comercio,variedades,buenos aires,3,9.0,2016-10-11,3000000.0,microempresarial
comercio,cerrajeria,pedregal,1,6.0,2018-07-05,4000000.0,microempresarial
comercio,legumbreria,robledo,1,7.0,2017-11-09,400000000.0,microempresarial
comercio,panaderia,cabecera san cristobal,3,60.0,2018-09-24,6000000.0,microempresarial
servicio,restaurante,manrique central no. 1,2,4.0,2017-08-11,7000000.0,microempresarial
comercio,comidas rapidas,robledo,2,7.0,2018-10-29,7800000.0,microempresarial
comercio,tienda,cabecera san antonio,2,80.0,2019-06-10,8200000.0,microempresarial
servicio,peluqueria,santa elena central,1,90.0,2019-05-31,8200000.0,microempresarial
comercio,variedades,la floresta,3,12.0,2016-05-02,6890000.0,microempresarial
comercio,restaurante,robledo,2,7.0,2016-10-07,4000000.0,microempresarial
comercio,distribuidora de,san javier no.1,2,13.0,2016-12-22,5000000.0,microempresarial
comercio,restaurante,castilla,3,5.0,2019-03-07,820000000.0,microempresarial
servicio,recreativo educativo,popular,2,1.0,2017-10-24,7300000.0,microempresarial
comercio,almacen de ropa en,manrique central no. 2,2,3.0,2016-11-23,6890000.0,microempresarial
industria,taller de electronica,campo valdes no. 1,3,4.0,2017-06-27,6000000.0,microempresarial
servicio,tienda,alfonso lopez,3,5.0,2019-02-27,6500000.0,microempresarial
comercio,comidas rapidas,san jose de la cima no.,2,3.0,2018-04-04,5000000.0,microempresarial
servicio,barberia,girardot,3,5.0,2016-05-10,680000000.0,microempresarial
comercio,variedades,santa cruz,2,2.0,2017-09-27,7000000.0,microempresarial
comercio,restaurante,castilla,3,5.0,2017-04-28,7377000.0,microempresarial
comercio,comidas rapidas,popular,2,1.0,2018-09-21,80000000.0,microempresarial
comercio,papeleria,belen,3,16.0,2018-07-11,5500000.0,microempresarial
comercio,charcuteria,manrique central no. 2,2,3.0,2016-11-25,6890000.0,microempresarial
industria,fabrica de,manrique central no. 2,3,3.0,2018-05-31,7000000.0,microempresarial
comercio,variedades,la libertad,2,8.0,2019-05-24,8281000.0,microempresarial
comercio,comidas rapidas,el vergel,3,80.0,2017-07-26,5000000.0,microempresarial
comercio,tienda,castilla,3,5.0,2017-12-14,6000000.0,microempresarial
comercio,comidas rapidas,barrio caicedo,3,9.0,2018-02-02,6500000.0,microempresarial
comercio,comidas rapidas,manrique central no. 1,2,4.0,2017-10-11,4400000.0,microempresarial
comercio,charcuteria,robledo,2,7.0,2016-11-02,6000000.0,microempresarial
industria,fabrica de,robledo,2,7.0,2016-02-25,6500000.0,microempresarial
industria,fabrica de,las violetas,2,16.0,2017-11-07,3000000.0,microempresarial
servicio,organizacion y,pedregal,2,6.0,2017-03-24,1500000.0,microempresarial
servicio,cafeteria,aranjuez,1,4.0,2018-03-08,1200000.0,microempresarial
comercio,variedades,castilla,2,5.0,2018-02-14,400000000.0,microempresarial
comercio,variedades,belen,3,16.0,2017-02-03,7000000.0,microempresarial
comercio,fabrica de,aranjuez,3,4.0,2017-05-19,5000000.0,microempresarial
industria,fabrica de repuestos,juan pablo ii,2,9.0,2017-01-31,3000000.0,microempresarial
comercio,tienda,prado,3,10.0,2017-07-12,7000000.0,microempresarial
comercio,tienda,picacho,1,6.0,2016-11-10,6890000.0,microempresarial
industria,fabrica de,pablo vi,2,2.0,2016-11-30,6890000.0,microempresarial
comercio,variedades,santander,2,6.0,2018-05-22,7000000.0,microempresarial
industria,fabrica de alimentos,robledo,2,7.0,2018-03-01,7800000.0,microempresarial
comercio,tienda,buenos aires,1,9.0,2017-10-11,5000000.0,microempresarial
comercio,tienda,belen,3,16.0,2019-03-12,7000000.0,microempresarial
comercio,deposito de,manrique central no. 1,3,4.0,2017-08-10,7300000.0,microempresarial
comercio,variedades,doce de octubre no.1,2,6.0,2018-02-14,7800000.0,microempresarial
comercio,fabrica de alimentos,castilla,3,5.0,2017-06-08,4000000.0,microempresarial
comercio,comidas rapidas,enciso,1,8.0,2018-06-27,7000000.0,microempresarial
comercio,restaurante,santa cruz,2,2.0,2018-02-05,7800000.0,microempresarial
comercio,mantenimiento en,calasanz,3,12.0,2018-11-30,7800000.0,microempresarial
comercio,variedades,barrio caicedo,2,9.0,2017-09-04,7000000.0,microempresarial
industria,fabrica de,manrique central no. 2,2,3.0,2016-02-23,6000000.0,microempresarial
servicio,mantenimiento en,aranjuez,3,4.0,2016-04-14,2000000.0,microempresarial
industria,fabrica de calzado,robledo,2,7.0,2017-07-26,3000000.0,microempresarial
comercio,comidas rapidas,alfonso lopez,1,5.0,2017-11-30,1000000.0,microempresarial
comercio,tienda,buenos aires,2,9.0,2018-04-12,7800000.0,microempresarial
comercio,comidas rapidas,manrique central no. 1,3,4.0,2017-04-19,4500000.0,microempresarial
comercio,variedades,santo domingo savio,1,1.0,2018-05-29,7800000.0,microempresarial
comercio,distribuidora de,aranjuez,2,4.0,2018-08-13,4500000.0,microempresarial
comercio,restaurante,picachito,1,6.0,2019-06-21,8281000.0,microempresarial
servicio,variedades,robledo,1,7.0,2019-01-15,3000000.0,microempresarial
comercio,comidas rapidas,popular,2,1.0,2017-02-20,3000000.0,microempresarial
comercio,variedades,san javier no.1,1,13.0,2018-05-04,6000000.0,microempresarial
comercio,variedades,la milagrosa,3,9.0,2016-08-22,6890000.0,microempresarial
comercio,variedades,buenos aires,2,9.0,2019-04-26,6000000.0,microempresarial
industria,fabrica de,aranjuez,2,4.0,2016-03-10,6000000.0,microempresarial
comercio,variedades,santo domingo savio,1,1.0,2018-08-14,7800000.0,microempresarial
servicio,peluqueria,la francia,2,80.0,2016-10-31,6890000.0,microempresarial
comercio,papeleria,buenos aires,3,9.0,2017-06-09,5000000.0,microempresarial
comercio,fabrica de,belen,3,16.0,2016-01-14,3000000.0,microempresarial
industria,fabrica de,la milagrosa,3,9.0,2019-05-28,8200000.0,microempresarial
comercio,comidas rapidas,santa cruz,1,2.0,2016-08-19,4000000.0,microempresarial
servicio,peluqueria,barrio caicedo,2,9.0,2017-02-23,7000000.0,microempresarial
industria,fabrica de,villa hermosa,2,9.0,2019-01-31,8200000.0,microempresarial
industria,fabrica de ceramica,robledo,1,7.0,2016-06-09,6890000.0,microempresarial
industria,fabrica de,campo valdes no. 1,3,4.0,2018-04-09,2000000.0,microempresarial
comercio,variedades,zona expansion san,2,80.0,2018-06-15,7000000.0,microempresarial
comercio,fabrica de,san javier no.1,1,13.0,2016-08-11,6800000.0,microempresarial
comercio,restaurante,doce de octubre no.1,2,6.0,2017-05-12,4000000.0,microempresarial
comercio,variedades,belen,3,16.0,2017-06-28,700000000.0,microempresarial
industria,fabrica de calzado,castilla,2,5.0,2017-07-21,7000000.0,microempresarial
comercio,distribuidora de,pedregal,3,6.0,2018-08-06,7000000.0,microempresarial
comercio,tienda,belen,2,16.0,2017-07-27,7000000.0,microempresarial
comercio,variedades,pedregal,3,6.0,2018-06-18,7800000.0,microempresarial
comercio,variedades,13 de noviembre,1,8.0,2016-03-17,5000000.0,microempresarial
comercio,variedades,miranda,2,4.0,2019-01-09,3000000.0,microempresarial
servicio,mantenimiento en,robledo,3,7.0,2019-02-08,2000000.0,microempresarial
industria,fabrica de,san javier no.1,3,13.0,2017-05-17,70000000.0,microempresarial
comercio,variedades,popular,2,1.0,2017-12-01,7300000.0,microempresarial
industria,fabrica de calzado,pedregal,3,6.0,2018-10-25,7800000.0,microempresarial
