tipo_de_emprendimiento,idea_negocio,barrio,estrato,comuna_ciudadano,fecha_de_beneficio,monto_del_credito,línea_credito
industria,fabrica de,buenos aires,1,9.0,2017-10-02,7370000.0,microempresarial
servicio,variedades,villa hermosa,3,8.0,2017-07-06,7370000.0,microempresarial
comercio,variedades,cabecera san cristobal,2,60.0,2018-09-24,4000000.0,microempresarial
servicio,comidas rapidas,el corazon,2,13.0,2017-12-20,7000000.0,microempresarial
comercio,restaurante,el salvador,3,9.0,2018-02-27,7000000.0,microempresarial
servicio,peluqueria,belen,3,16.0,2018-07-31,7800000.0,microempresarial
comercio,variedades,robledo,2,7.0,2018-06-27,6000000.0,microempresarial
comercio,variedades,castilla,2,5.0,2018-02-07,7000000.0,microempresarial
comercio,variedades,san javier no.1,2,13.0,2018-06-05,7800000.0,microempresarial
comercio,comidas rapidas,cabecera san cristobal,2,60.0,2017-09-26,4000000.0,microempresarial
comercio,comidas rapidas,san pedro,2,4.0,2017-06-13,7300000.0,microempresarial
comercio,comidas rapidas,robledo,1,7.0,2017-01-30,5000000.0,microempresarial
servicio,organizacion y,manrique central no. 1,1,4.0,2017-11-15,7377000.0,microempresarial
comercio,variedades,robledo,2,7.0,2018-02-09,700000.0,microempresarial
industria,fabrica de,belencito,2,13.0,2018-08-10,4000000.0,microempresarial
industria,fabrica de calzado,enciso,3,8.0,2017-09-19,6000000.0,microempresarial
comercio,tienda,villa hermosa,3,8.0,2017-11-20,2000000.0,microempresarial
comercio,tienda,santa cruz,1,2.0,2017-11-10,7370000.0,microempresarial
comercio,variedades,cabecera san antonio,2,80.0,2017-10-20,3000000.0,microempresarial
comercio,variedades,buenos aires,2,9.0,2018-01-16,7800000.0,microempresarial
comercio,almacen de ropa en,robledo,2,7.0,2018-07-25,3000000.0,microempresarial
comercio,cafeteria,san benito,3,10.0,2018-07-17,7800000.0,microempresarial
agropecuaria,sembrados,cabecera san cristobal,2,60.0,2018-09-14,7800000.0,microempresarial
industria,fabrica de,buenos aires,3,9.0,2017-09-11,4400000.0,microempresarial
comercio,tienda,enciso,2,8.0,2018-05-17,7800000.0,microempresarial
comercio,tienda,la ladera,2,8.0,2018-05-31,5000000.0,microempresarial
servicio,tienda,pablo vi,2,2.0,2017-04-26,7370000.0,microempresarial
comercio,variedades,san javier no.1,1,13.0,2017-07-14,3000000.0,microempresarial
servicio,mantenimiento en,el salvador,2,9.0,2019-04-08,1500000.0,microempresarial
comercio,almacen de ropa en,villatina,1,8.0,2017-07-17,300000000.0,microempresarial
industria,fabrica de,castilla,2,5.0,2018-06-18,7800000.0,microempresarial
comercio,venta de calzado,popular,2,1.0,2017-02-24,6894000.0,microempresarial
comercio,fabrica de muebles,alfonso lopez,2,5.0,2018-05-08,2350000.0,microempresarial
servicio,publicidad y,robledo,3,7.0,2016-04-04,28000000.0,empresarial ed.
industria,fabrica de,san javier no.1,2,13.0,2018-10-30,7500000.0,microempresarial
servicio,mantenimiento en,santa cruz,2,2.0,2018-04-10,780000000.0,microempresarial
comercio,variedades,prado,3,10.0,2016-03-15,400000000.0,microempresarial
comercio,variedades,doce de octubre no.1,2,6.0,2018-07-12,5000000.0,microempresarial
industria,fabrica de,popular,2,1.0,2016-06-03,5000000.0,microempresarial
comercio,venta de calzado,buenos aires,3,9.0,2016-12-13,4000000.0,microempresarial
industria,fabrica de,las palmas,2,10.0,2016-11-22,3000000.0,microempresarial
comercio,comidas rapidas,20 de julio,1,13.0,2018-01-24,4000000.0,microempresarial
comercio,distribuidora de,robledo,3,7.0,2018-07-11,6000000.0,microempresarial
industria,fabrica de,popular,2,1.0,2018-07-06,5000000.0,microempresarial
comercio,variedades,manrique central no. 2,2,3.0,2016-11-24,6900000.0,microempresarial
